"(('in.n.01', 'n'), ('the.n.01', 'n'))",458
"(('to.n.01', 'n'), ('the.n.01', 'n'))",242
"(('of.n.01', 'n'), ('the.n.01', 'n'))",234
"(('on.n.01', 'n'), ('the.n.01', 'n'))",227
"(('and.n.01', 'n'), ('the.n.01', 'n'))",192
"(('to.n.01', 'n'), ('me.n.01', 'n'))",182
"(('and.n.01', 'n'), ('i.n.01', 'n'))",181
"(('if.n.01', 'n'), ('you.n.01', 'n'))",178
"(('to.n.01', 'n'), ('equal.v.01', 'v'))",165
"(('for.n.01', 'n'), ('the.n.01', 'n'))",164
"(('in.n.01', 'n'), ('my.n.01', 'n'))",160
"(('for.n.01', 'n'), ('you.n.01', 'n'))",155
"(('what.n.01', 'n'), ('you.n.01', 'n'))",147
"(('all.n.01', 'n'), ('the.n.01', 'n'))",146
"(('from.n.01', 'n'), ('the.n.01', 'n'))",143
"(('try_on.v.01', 'v'), ('to.n.01', 'n'))",137
"(('you.n.01', 'n'), ('and.n.01', 'n'))",135
"(('with.n.01', 'n'), ('the.n.01', 'n'))",123
"(('sidereal_day.n.01', 'n'), ('old.a.02', 'a'))",123
"(('i.n.01', 'n'), ('dont.n.01', 'n'))",122
"(('one.n.01', 'n'), ('know.v.09', 'v'))",120
"(('in.n.01', 'n'), ('your.n.01', 'n'))",120
"(('out.n.01', 'n'), ('of.n.01', 'n'))",120
"(('you.n.01', 'n'), ('know.v.09', 'v'))",116
"(('that.n.01', 'n'), ('you.n.01', 'n'))",114
"(('one.n.01', 'n'), ('canst.n.01', 'n'))",114
"(('for.n.01', 'n'), ('me.n.01', 'n'))",114
"(('be.v.05', 'v'), ('the.n.01', 'n'))",114
"(('the.n.01', 'n'), ('same.a.01', 'a'))",109
"(('old.a.02', 'a'), ('sidereal_day.n.01', 'n'))",109
"(('in.n.01', 'n'), ('a.n.01', 'n'))",108
"(('this.n.01', 'n'), ('be.v.05', 'v'))",106
"(('oh.n.01', 'n'), ('oh.n.01', 'n'))",106
"(('but.n.01', 'n'), ('i.n.01', 'n'))",104
"(('back.r.02', 'r'), ('to.n.01', 'n'))",104
"(('the.n.01', 'n'), ('worldly_concern.n.01', 'n'))",103
"(('like.n.01', 'n'), ('a.n.01', 'n'))",102
