"(('in.n.01', 'n'), ('the.n.01', 'n'))",396
"(('on.n.01', 'n'), ('the.n.01', 'n'))",213
"(('to.n.01', 'n'), ('the.n.01', 'n'))",207
"(('of.n.01', 'n'), ('the.n.01', 'n'))",173
"(('district_attorney.n.01', 'n'), ('district_attorney.n.01', 'n'))",170
"(('oh.n.01', 'n'), ('oh.n.01', 'n'))",164
"(('like.n.01', 'n'), ('a.n.01', 'n'))",154
"(('all.n.01', 'n'), ('the.n.01', 'n'))",139
"(('na.n.01', 'n'), ('na.n.01', 'n'))",139
"(('to.n.01', 'n'), ('equal.v.01', 'v'))",134
"(('if.n.01', 'n'), ('you.n.01', 'n'))",133
"(('to.n.01', 'n'), ('me.n.01', 'n'))",133
"(('in.n.01', 'n'), ('my.n.01', 'n'))",130
"(('you.n.01', 'n'), ('can.n.01', 'n'))",128
"(('occur.v.02', 'v'), ('on.n.01', 'n'))",128
"(('you.n.01', 'n'), ('know.v.09', 'v'))",128
"(('what.n.01', 'n'), ('you.n.01', 'n'))",124
"(('the.n.01', 'n'), ('way.n.11', 'n'))",123
"(('a.n.01', 'n'), ('small.a.01', 'a'))",119
"(('and.n.01', 'n'), ('i.n.01', 'n'))",115
"(('if.n.01', 'n'), ('i.n.01', 'n'))",113
"(('yeah.n.01', 'n'), ('yeah.n.01', 'n'))",106
"(('la.n.01', 'n'), ('la.n.01', 'n'))",105
"(('one.n.01', 'n'), ('know.v.09', 'v'))",104
"(('that.n.01', 'n'), ('you.n.01', 'n'))",104
"(('in.n.01', 'n'), ('a.n.01', 'n'))",102
"(('you.n.01', 'n'), ('and.n.01', 'n'))",101
"(('with.n.01', 'n'), ('me.n.01', 'n'))",101
"(('and.n.01', 'n'), ('the.n.01', 'n'))",99
"(('i.n.01', 'n'), ('dont.n.01', 'n'))",98
"(('want.v.03', 'v'), ('to.n.01', 'n'))",94
"(('on.n.01', 'n'), ('my.n.01', 'n'))",94
"(('be.v.05', 'v'), ('the.n.01', 'n'))",93
"(('on.n.01', 'n'), ('a.n.01', 'n'))",92
"(('for.n.01', 'n'), ('the.n.01', 'n'))",89
"(('and.n.01', 'n'), ('you.n.01', 'n'))",89
"(('to.n.01', 'n'), ('you.n.01', 'n'))",87
"(('for.n.01', 'n'), ('me.n.01', 'n'))",86
